Date,Handicap,Series,Race,Div,Boat name,Elapsed time,ETsecs,RankAppld,TCFapplied,PHRF,IRC
28/09/2013,Championship,Spring,r1,1,The Guarantee,2:25:04,8704,1,0.848,0.845,
28/09/2013,Championship,Spring,r1,1,Revs,2:20:08,8408,2,0.894,0.885,1.234
28/09/2013,Championship,Spring,r1,2,Whistler III,2:28:17,8897,1,0.719,0.725,0.95
28/09/2013,Championship,Spring,r1,2,Incantare,2:34:37,9277,2,0.697,0.725,
28/09/2013,Championship,Spring,r1,2,Airship,2:25:28,8728,3,0.743,0.735,
28/09/2013,Championship,Spring,r1,2,Wiseguy,2:41:37,9697,4,0.706,,
28/09/2013,Championship,Spring,r1,2,Wellington Spirit Bronze,2:31:01,9061,5,0.77,0.79,
28/09/2013,Championship,Spring,r1,2,Wellington Spirit Red,2:34:37,9277,6,0.77,0.79,
28/09/2013,Championship,Spring,r1,2,Gucci,2:38:16,9496,7,0.762,0.755,0.963
28/09/2013,Championship,Spring,r1,3,Cantilena,2:03:17,7397,1,0.633,,
28/09/2013,Championship,Spring,r1,3,Titus Canby,2:02:45,7365,2,0.689,0.69,
28/09/2013,Championship,Spring,r1,3,Saucy Sausage,2:15:56,8156,3,0.629,0.63,
28/09/2013,Championship,Spring,r1,3,Marangi,<no entry>,,,,,
5/10/2013,Championship,Spring,r2,1,Drinks Trolley,23:56,1436,1,0.824,0.84,
5/10/2013,Championship,Spring,r2,1,Wedgetail,21:09,1269,2,0.945,0.95,1.209
5/10/2013,Championship,Spring,r2,1,Revs,22:26,1346,3,0.894,0.885,1.234
5/10/2013,Championship,Spring,r2,1,Magic Trick,22:48,1368,4,0.891,0.875,
5/10/2013,Championship,Spring,r2,1,Nedax Racing,24:45,1485,5,0.832,0.84,
5/10/2013,Championship,Spring,r2,1,Rocket Science,25:28,1528,6,0.83,0.82,
5/10/2013,Championship,Spring,r2,1,The Guarantee,24:59,1499,7,0.848,0.845,
5/10/2013,Championship,Spring,r2,1,Blink,23:05,1385,8,0.95,0.98,
5/10/2013,Championship,Spring,r2,2,Blue Magic,26:50,1610,1,0.739,0.735,0.955
5/10/2013,Championship,Spring,r2,2,Incantare,28:17,1697,2,0.702,0.725,
5/10/2013,Championship,Spring,r2,2,Whistler III,27:28,1648,3,0.724,0.725,0.95
5/10/2013,Championship,Spring,r2,2,Wiseguy,29:14,1754,4,0.706,,
5/10/2013,Championship,Spring,r2,2,Wellington Spirit Red,27:33,1653,6,0.765,0.79,
5/10/2013,Championship,Spring,r2,2,Airship,27:49,1669,5,0.749,0.735,
5/10/2013,Championship,Spring,r2,2,Gucci,28:24,1704,8,0.756,0.755,0.963
5/10/2013,Championship,Spring,r2,2,Floating Free,30:21,1821,7,0.705,,
5/10/2013,Championship,Spring,r2,2,Wellington Spirit Bronze,28:14,1694,9,0.766,0.79,
5/10/2013,Championship,Spring,r2,2,Prime Mover,28:50,1730,10,0.761,0.765,
5/10/2013,Championship,Spring,r2,2,Eat My Shorts,30:05,1805,11,0.742,0.745,
5/10/2013,Championship,Spring,r2,2,Montego Bay III,34:27,2067,12,0.719,0.745,
5/10/2013,Championship,Spring,r2,3,Titus Canby,3:33:39,12819,1,0.689,0.69,
5/10/2013,Championship,Spring,r2,3,Revenue Cutter,3:55:08,14108,4,0.652,,
5/10/2013,Championship,Spring,r2,3,Saucy Sausage,3:56:48,14208,2,0.629,0.63,
5/10/2013,Championship,Spring,r2,3,Haumuri,3:42:36,13356,3,0.678,0.665,
5/10/2013,Championship,Spring,r2,3,White Cavalier,< dnf >,,,,,
5/10/2013,Classics,Classics,r1,Combined,Lizzie,3:03:29,11009,1,0.4,,
5/10/2013,Classics,Classics,r1,Combined,Rona,2:36:36,9396,2,0.58,,
5/10/2013,Classics,Classics,r1,Combined,Loloma,3:14:21,11661,3,0.49,,
5/10/2013,Championship,Spring,r3,1,Blink,2:03:09,7389,1,0.943,0.98,
5/10/2013,Championship,Spring,r3,1,Revs,2:11:36,7896,2,0.897,0.885,1.234
5/10/2013,Championship,Spring,r3,1,Drinks Trolley,2:25:46,8746,5,0.83,0.84,
5/10/2013,Championship,Spring,r3,1,Nedax Racing,2:24:24,8664,4,0.829,0.84,
5/10/2013,Championship,Spring,r3,1,Rocket Science,2:25:00,8700,3,0.824,0.82,
5/10/2013,Championship,Spring,r3,1,Magic Trick,2:16:14,8174,6,0.891,0.875,
